question,choice a,choice b,choice c,choice d,answer
What does the 'static' keyword mean in Java?, It indicates that the variable or method belongs to the class, It indicates that the variable or method can be accessed by any class in the same package, It indicates that the variable or method cannot be modified, It indicates that the variable or method is dynamic, a
What is the purpose of the keyword 'final' in Java?, It indicates that a variable cannot be reassigned, It indicates that a method cannot be overridden, It indicates that a class cannot be extended, All of the above, d
In Python, what is the difference between 'list' and 'tuple'?, Lists are mutable while tuples are immutable, Tuples are mutable while lists are immutable, Both lists and tuples are mutable, a
What is the purpose of the 'super()' method in Python?, It is used to call the constructor of the superclass, It is used to access the attributes of the superclass, It is used to define a superclass, It is used to override a superclass method, a
What is the purpose of the 'finally' block in Java's try-catch-finally statement?, It is used to define a block of code to be executed if an exception is thrown, It is used to define a block of code to be executed regardless of whether an exception is thrown or not, It is used to define a block of code to be executed only if no exception is thrown, It is used to define a block of code to be executed only if an exception is caught, b
What does the 'break' keyword do in a loop in Java?, It terminates the loop and transfers control to the next iteration, It terminates the loop and transfers control to the statement immediately following the loop, It terminates the loop and transfers control to the statement labeled with the loop's label, It has no effect on a loop, a
What is the purpose of the 'assert' statement in Java?, It is used to test a condition and raise an error if the condition is false, It is used to test a condition and print a message if the condition is false, It is used to test a condition and continue execution if the condition is true, It is used to test a condition and terminate the program if the condition is false, a
What is the purpose of the 'break' statement in Python's loops?, It terminates the loop and transfers control to the next iteration, It terminates the loop and transfers control to the statement immediately following the loop, It has no effect on a loop, It terminates the loop and transfers control to the statement labeled with the loop's label, b
What is the purpose of the 'pass' statement in Python?, It is a placeholder indicating where code will eventually go, It is used to terminate a loop or function, It is used to raise an exception, It is used to do nothing, a
What does the 'len()' function do in Python?, It returns the length of a list, It returns the length of a string, It returns the number of elements in an iterable, All of the above, d
What is the purpose of the 'continue' statement in a loop in Java?, It skips the rest of the code in the loop and continues with the next iteration, It terminates the loop and transfers control to the next iteration, It has no effect on a loop, It terminates the loop and transfers control to the statement immediately following the loop, a
What is the purpose of the 'self' parameter in Python class methods?, It refers to the instance of the class, It refers to the class itself, It refers to the superclass of the class, It refers to the subclass of the class, a
What is the purpose of the 'with' statement in Python?, It is used to open a file and ensure it is closed properly, It is used to define a context in which resources are managed, It is used to create a context manager, All of the above, d
What does RAM stand for in computing?, Random Access Memory, Readily Accessible Memory, Randomly Accessed Memory, Read-After-Write Memory, a
What is the function of RAM in a computer?, It temporarily stores data and instructions that are actively being used, It permanently stores all data and instructions, It manages the computer's input and output operations, It controls the computer's memory hierarchy, a
What is the difference between RAM and ROM?, RAM is volatile and used for temporary storage, while ROM is non-volatile and used for permanent storage, RAM is non-volatile and used for permanent storage, while ROM is volatile and used for temporary storage, a
What is the purpose of the memory controller in a computer?, It manages the flow of data to and from the RAM, It controls the computer's input and output operations, It manages the computer's memory hierarchy, It permanently stores all data and instructions, a
What is the difference between DRAM and SRAM?, DRAM is slower and used for main memory, while SRAM is faster and used for cache memory, DRAM is faster and used for cache memory, while SRAM is slower and used for main memory, a
What is the function of the memory bus in a computer?, It provides a communication path between the CPU, RAM, and other components, It manages the flow of data to and from the RAM, a
What is the purpose of memory timings in RAM?, They define the latency and speed of accessing data from RAM, They control the computer's memory hierarchy, They manage the flow of data to and from the RAM, They permanently store all data and instructions, a
What is the difference between single-channel and dual-channel RAM?, Single-channel RAM uses one memory channel, while dual-channel RAM uses two memory channels, Single-channel RAM is slower than dual-channel RAM, Dual-channel RAM is slower than single-channel RAM, a
What is the purpose of ECC RAM (Error-Correcting Code RAM)?, It detects and corrects errors in data that are stored in RAM, It provides a faster access time to data in RAM, It increases the capacity of RAM, It reduces the power consumption of RAM, a
What is the role of virtual memory in a computer system?, It extends the computer's RAM by using hard drive space as temporary storage, It provides a backup of the computer's RAM in case of a system failure, It manages the computer's memory hierarchy, It controls the computer's input and output operations, a
What is the octal equivalent of the binary number 110010111?, 313, 317, 323, 327, c
What is the decimal equivalent of the octal number 547?, 357, 367, 377, 387, b
What is the binary equivalent of the octal number 765?, 1111101101, 1111101010, 1111101111, 1111100110, a
What is the octal equivalent of the decimal number 4095?, 7777, 7776, 7775, 7774, a
What is the decimal equivalent of the base-5 number 1234?, 194, 199, 204, 209, a
What is the base-5 equivalent of the decimal number 257?, 2102, 2112, 2122, 2132, a
